Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 735,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the ""Arturo L. Ibleto Post Office Building"".","Thompson, Mike [Rep.-D-CA-5]",Democratic,2021-02-02,Postal service
H.R. 711,117th Congress (2021-2022),West Los Angeles VA Campus Improvement Act of 2021,"Lieu, Ted [Rep.-D-CA-33]",Democratic,2021-02-02,Armed Forces and National Security
H.R. 700,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office"".","Foster, Bill [Rep.-D-IL-11]",Democratic,2021-02-02,Congressional tributes
H.R. 681,117th Congress (2021-2022),For the relief of Rebecca Trimble.,"Young, Don [Rep.-R-AK-At Large]",Republican,2021-02-01,Private Legislation
H.R. 680,117th Congress (2021-2022),"For the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar.","Kuster, Ann M. [Rep.-D-NH-2]",Democratic,2021-02-01,Private Legislation
H.R. 521,117th Congress (2021-2022),First Responder Fair RETIRE Act,"Connolly, Gerald E. [Rep.-D-VA-11]",Democratic,2021-01-28,Government Operations and Politics
H.R. 478,117th Congress (2021-2022),Blackwater Trading Post Land Transfer Act,"O'Halleran, Tom [Rep.-D-AZ-1]",Democratic,2021-01-25,Native Americans
H.R. 468,117th Congress (2021-2022),Expedited Delivery of Airport Infrastructure Act of 2021,"Graves, Sam [Rep.-R-MO-6]",Republican,2021-01-25,Transportation and Public Works
H.R. 441,117th Congress (2021-2022),Don Young Alaska Native Health Care Land Transfers Act of 2022,"Young, Don [Rep.-R-AK-At Large]",Republican,2021-01-21,Native Americans
H.R. 390,117th Congress (2021-2022),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the ""Odell Horton Federal Building"".","Cohen, Steve [Rep.-D-TN-9]",Democratic,2021-01-21,Government Operations and Politics
H.R. 335,117th Congress (2021-2022),To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"Smith, Adam [Rep.-D-WA-9]",Democratic,2021-01-15,Military personnel and dependents
H.R. 310,117th Congress (2021-2022),"To posthumously award the Congressional Gold Medal, collectively, to Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith, in recognition of their contributions to the Nation.","Lynch, Stephen F. [Rep.-D-MA-8]",Democratic,2021-01-13,Law enforcement officers
H.R. 264,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1101 Charlotte Street in Georgetown, South Carolina, as the ""Joseph Hayne Rainey Memorial Post Office Building"".","Rice, Tom [Rep.-R-SC-7]",Republican,2021-01-11,Government Operations and Politics
H.R. 263,117th Congress (2021-2022),Big Cat Public Safety Act,"Quigley, Mike [Rep.-D-IL-5]",Democratic,2021-01-11,Animals
H.R. 228,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the ""Norma Comnick Post Office Building"".","LaMalfa, Doug [Rep.-R-CA-1]",Republican,2021-01-06,California
H.R. 208,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.","Kelly, Trent [Rep.-R-MS-1]",Republican,2021-01-05,Mississippi
H.R. 203,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.","Garcia, Sylvia R. [Rep.-D-TX-29]",Democratic,2021-01-05,Government Operations and Politics
H.R. 189,117th Congress (2021-2022),John Lewis NIMHD Research Endowment Revitalization Act of 2021,"Barragan, Nanette Diaz [Rep.-D-CA-44]",Democratic,2021-01-05,Medical research
H.R. 92,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the ""Specialist Four Charles Johnson Post Office"".","Duncan, Jeff [Rep.-R-SC-3]",Republican,2021-01-04,Congressional tributes
H.R. 91,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the ""Private First Class Barrett Lyle Austin Post Office Building"".","Duncan, Jeff [Rep.-R-SC-3]",Republican,2021-01-04,Congressional tributes
H.R. 55,117th Congress (2021-2022),Emmett Till Antilynching Act,"Rush, Bobby L. [Rep.-D-IL-1]",Democratic,2021-01-04,Crime and Law Enforcement
H.R. 49,117th Congress (2021-2022),"To designate the National Pulse Memorial located at 1912 South Orange Avenue, Orlando, Florida, 32806, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",Democratic,2021-01-04,"Arts, Culture, Religion"
H.R. 26,117th Congress (2021-2022),Construction Consensus Procurement Improvement Act of 2021,"Comer, James [Rep.-R-KY-1]",Republican,2021-01-04,Government Operations and Politics
H.J.Res. 100,117th Congress (2021-2022),To provide for a resolution with respect to the unresolved disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and certain of their employees.,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",Democratic,2022-11-29,Labor and Employment
H.J.Res. 75,117th Congress (2021-2022),"Extension of Continuing Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2022-03-08,Economics and Public Finance
H.J.Res. 27,117th Congress (2021-2022),Providing for the appointment of Barbara Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.,"Matsui, Doris O. [Rep.-D-CA-6]",Democratic,2021-02-25,Smithsonian Institution
S. 5329,117th Congress (2021-2022),"A bill to amend the Bill Emerson Good Samaritan Food Donation Act to improve the program, and for other purposes.","Blumenthal, Richard [Sen.-D-CT]",Democratic,2022-12-20,Agriculture and Food
S. 5328,117th Congress (2021-2022),A bill to amend the Farm Security and Rural Investment Act of 2002 to extend terminal lakes assistance.,"Cortez Masto, Catherine [Sen.-D-NV]",Democratic,2022-12-20,Agriculture and Food
S. 5230,117th Congress (2021-2022),Billy's Law,"Murphy, Christopher [Sen.-D-CT]",Democratic,2022-12-08,Crime and Law Enforcement
S. 5229,117th Congress (2021-2022),"A bill to direct the Joint Committee of Congress on the Library to remove the bust of Roger Brooke Taney in the Old Supreme Court Chamber of the Capitol and to obtain a bust of Thurgood Marshall for installation in the Capitol or on the Capitol Grounds, and for other purposes.","Cardin, Benjamin L. [Sen.-D-MD]",Democratic,2022-12-08,Congress
S. 5168,117th Congress (2021-2022),Energy Security and Lightering Independence Act of 2022,"Padilla, Alex [Sen.-D-CA]",Democratic,2022-12-01,Immigration
S. 5087,117th Congress (2021-2022),"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes.","Murkowski, Lisa [Sen.-R-AK]",Republican,2022-11-15,Native Americans
S. 5066,117th Congress (2021-2022),Don Young Recognition Act,"Murkowski, Lisa [Sen.-R-AK]",Republican,2022-09-29,Government Operations and Politics
S. 5060,117th Congress (2021-2022),Paul D. Wellstone Building Act of 2022,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2022-09-29,Government Operations and Politics
S. 5016,117th Congress (2021-2022),Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022,"Murkowski, Lisa [Sen.-R-AK]",Republican,2022-09-29,Armed Forces and National Security
S. 4978,117th Congress (2021-2022),State Offices of Rural Health Program Reauthorization Act of 2022,"Barrasso, John [Sen.-R-WY]",Republican,2022-09-28,Health
S. 4949,117th Congress (2021-2022),National Cemeteries Preservation and Protection Act of 2022,"Tester, Jon [Sen.-D-MT]",Democratic,2022-09-27,Armed Forces and National Security
S. 4926,117th Congress (2021-2022),Respect for Child Survivors Act,"Cornyn, John [Sen.-R-TX]",Republican,2022-09-22,Crime and Law Enforcement
S. 4900,117th Congress (2021-2022),SBIR and STTR Extension Act of 2022,"Cardin, Benjamin L. [Sen.-D-MD]",Democratic,2022-09-20,Commerce
S. 4834,117th Congress (2021-2022),PROTECT Our Children Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-09-13,Crime and Law Enforcement
S. 4791,117th Congress (2021-2022),"A bill to amend section 301 of title 44, United States Code, to establish a term for the appointment of the Director of the Government Publishing Office.","Blunt, Roy [Sen.-R-MO]",Republican,2022-09-06,Government Operations and Politics
S. 4785,117th Congress (2021-2022),A bill to extend by 19 days the authorization for the special assessment for the Domestic Trafficking Victims' Fund.,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2022-08-06,Crime and Law Enforcement
S. 4524,117th Congress (2021-2022),Speak Out Act,"Gillibrand, Kirsten E. [Sen.-D-NY]",Democratic,2022-07-13,Law
S. 4458,117th Congress (2021-2022),Ensuring the Best Schools for Veterans Act of 2022,"Tester, Jon [Sen.-D-MT]",Democratic,2022-06-23,Armed Forces and National Security
S. 4439,117th Congress (2021-2022),Katimiîn and Ameekyáaraam Sacred Lands Act,"Padilla, Alex [Sen.-D-CA]",Democratic,2022-06-22,Native Americans
S. 4411,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the ""Vanessa Guillen Post Office Building"".","Cruz, Ted [Sen.-R-TX]",Republican,2022-06-15,Government Operations and Politics
S. 4359,117th Congress (2021-2022),Senator Johnny Isakson VA Regional Office Act of 2022,"Ossoff, Jon [Sen.-D-GA]",Democratic,2022-06-08,Armed Forces and National Security
S. 4240,117th Congress (2021-2022),Justice for Victims of War Crimes Act,"Grassley, Chuck [Sen.-R-IA]",Republican,2022-05-18,International Affairs
S. 4205,117th Congress (2021-2022),PAW Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2022-05-12,Emergency Management
S. 4160,117th Congress (2021-2022),Supreme Court Police Parity Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-05-05,Government Operations and Politics
S. 4120,117th Congress (2021-2022),Childhood Cancer STAR Reauthorization Act,"Reed, Jack [Sen.-D-RI]",Democratic,2022-04-28,Health
S. 4119,117th Congress (2021-2022),RECA Extension Act of 2022,"Lee, Mike [Sen.-R-UT]",Republican,2022-04-28,Labor and Employment
S. 4104,117th Congress (2021-2022),Hualapai Tribe Water Rights Settlement Act of 2022,"Sinema, Kyrsten [Sen.-D-AZ]",Democratic,2022-04-28,Native Americans
S. 4089,117th Congress (2021-2022),Veterans Rapid Retraining Assistance Program Restoration and Recovery Act of 2022,"Durbin, Richard J. [Sen.-D-IL]",Democratic,2022-04-26,Armed Forces and National Security
S. 4052,117th Congress (2021-2022),Early Hearing Detection and Intervention Act of 2022,"Portman, Rob [Sen.-R-OH]",Republican,2022-04-07,Health
S. 4017,117th Congress (2021-2022),"A bill to designate the United States courthouse located at 111 South Highland Avenue in Jackson, Tennessee, as the ""James D. Todd United States Courthouse"", and for other purposes.","Blackburn, Marsha [Sen.-R-TN]",Republican,2022-04-06,Government Operations and Politics
S. 4003,117th Congress (2021-2022),Law Enforcement De-Escalation Training Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-04-05,Crime and Law Enforcement
S. 3969,117th Congress (2021-2022),Protection and Advocacy for Voting Access Program Inclusion Act,"Lujan, Ben Ray [Sen.-D-NM]",Democratic,2022-03-30,Government Operations and Politics
S. 3949,117th Congress (2021-2022),Trafficking Victims Prevention and Protection Reauthorization Act of 2022,"Grassley, Chuck [Sen.-R-IA]",Republican,2022-03-29,Crimes against children
S. 3946,117th Congress (2021-2022),Abolish Trafficking Reauthorization Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-03-29,Crime and Law Enforcement
S. 3905,117th Congress (2021-2022),Preventing Organizational Conflicts of Interest in Federal Acquisition Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2022-03-23,Government Operations and Politics
S. 3895,117th Congress (2021-2022),United States Commission on International Religious Freedom Reauthorization Act of 2022,"Rubio, Marco [Sen.-R-FL]",Republican,2022-03-22,International Affairs
S. 3884,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 404 U.S. Highway 41 North in Baraga, Michigan, as the ""Cora Reynolds Anderson Post Office"".","Peters, Gary C. [Sen.-D-MI]",Democratic,2022-03-21,Government Operations and Politics
S. 3875,117th Congress (2021-2022),Community Disaster Resilience Zones Act of 2022,"Peters, Gary C. [Sen.-D-MI]",Democratic,2022-03-17,Emergency Management
S. 3846,117th Congress (2021-2022),Justice and Mental Health Collaboration Reauthorization Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-03-16,Crime and Law Enforcement
S. 3826,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 1304 4th Avenue in Canyon, Texas, as the ""Gary James Fletcher Post Office Building"".","Cornyn, John [Sen.-R-TX]",Republican,2022-03-14,Government Operations and Politics
S. 3825,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 3903 Melear Drive in Arlington, Texas, as the ""Ron Wright Post Office Building"".","Cornyn, John [Sen.-R-TX]",Republican,2022-03-14,Government Operations and Politics
S. 3823,117th Congress (2021-2022),Bankruptcy Threshold Adjustment and Technical Corrections Act,"Grassley, Chuck [Sen.-R-IA]",Republican,2022-03-14,Finance and Financial Sector
S. 3773,117th Congress (2021-2022),A bill to authorize leases of up to 99 years for land held in trust for the Confederated Tribes of the Chehalis Reservation.,"Cantwell, Maria [Sen.-D-WA]",Democratic,2022-03-08,Native Americans
S. 3706,117th Congress (2021-2022),A bill to provide for the application of certain provisions of the Secure Rural Schools and Community Self-Determination Act of 2000 for fiscal year 2021.,"Crapo, Mike [Sen.-R-ID]",Republican,2022-02-17,Public Lands and Natural Resources
S. 3662,117th Congress (2021-2022),Preventing PFAS Runoff at Airports Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2022-02-16,Transportation and Public Works
S. 3655,117th Congress (2021-2022),Civil Rights Cold Case Investigations Support Act of 2022,"Ossoff, Jon [Sen.-D-GA]",Democratic,2022-02-16,"Civil Rights and Liberties, Minority Issues"
S. 3580,117th Congress (2021-2022),Ocean Shipping Reform Act of 2022,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2022-02-03,Transportation and Public Works
S. 3527,117th Congress (2021-2022),"A bill to amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to transfer the name of property of the Department of Veterans Affairs designated by law to other property of the Department.","Tester, Jon [Sen.-D-MT]",Democratic,2022-01-19,Armed Forces and National Security
S. 3522,117th Congress (2021-2022),Ukraine Democracy Defense Lend-Lease Act of 2022,"Cornyn, John [Sen.-R-TX]",Republican,2022-01-19,International Affairs
S. 3519,117th Congress (2021-2022),Butterfield Overland National Historic Trail Designation Act,"Boozman, John [Sen.-R-AR]",Republican,2022-01-19,Public Lands and Natural Resources
S. 3510,117th Congress (2021-2022),Disaster Resiliency Planning Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2022-01-13,Emergency Management
S. 3499,117th Congress (2021-2022),"A bill to amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes.","Peters, Gary C. [Sen.-D-MI]",Democratic,2022-01-13,Emergency Management
S. 3470,117th Congress (2021-2022),End Human Trafficking in Government Contracts Act of 2022,"Lankford, James [Sen.-R-OK]",Republican,2022-01-11,Government Operations and Politics
S. 3451,117th Congress (2021-2022),"A bill to include certain computer-related projects in the Federal permitting program under title XLI of the FAST Act, and for other purposes.","Hagerty, Bill [Sen.-R-TN]",Republican,2022-01-10,Environmental Protection
S. 3405,117th Congress (2021-2022),Low Power Protection Act,"Blunt, Roy [Sen.-R-MO]",Republican,2021-12-15,"Science, Technology, Communications"
S. 3377,117th Congress (2021-2022),Capitol Police Emergency Assistance Act of 2021,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2021-12-13,Congressional officers and employees
S. 3373,117th Congress (2021-2022),Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022,"Kaine, Tim [Sen.-D-VA]",Democratic,2021-12-09,Education
S. 3369,117th Congress (2021-2022),Max Cleland VA Medical Center Act,"Warnock, Raphael G. [Sen.-D-GA]",Democratic,2021-12-09,Armed Forces and National Security
S. 3308,117th Congress (2021-2022),Colorado River Indian Tribes Water Resiliency Act of 2022,"Kelly, Mark [Sen.-D-AZ]",Democratic,2021-12-02,Transportation and Public Works
S. 3294,117th Congress (2021-2022),A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2021-12-01,Congress
S. 3168,117th Congress (2021-2022),"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to modify the enforceability date for certain provisions, and for other purposes.","Kelly, Mark [Sen.-D-AZ]",Democratic,2021-11-04,Native Americans
S. 3157,117th Congress (2021-2022),Bridging the Gap for New Americans Act,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2021-11-03,Immigration
S. 3115,117th Congress (2021-2022),POWER 2.0 Act,"Sullivan, Dan [Sen.-R-AK]",Republican,2021-10-28,Crime and Law Enforcement
S. 3103,117th Congress (2021-2022),Eliminating Limits to Justice for Child Sex Abuse Victims Act of 2022,"Durbin, Richard J. [Sen.-D-IL]",Democratic,2021-10-28,Crime and Law Enforcement
S. 3092,117th Congress (2021-2022),FIRE Act,"Padilla, Alex [Sen.-D-CA]",Democratic,2021-10-27,Emergency Management
S. 3059,117th Congress (2021-2022),Courthouse Ethics and Transparency Act,"Cornyn, John [Sen.-R-TX]",Republican,2021-10-25,Law
S. 2991,117th Congress (2021-2022),Countering Human Trafficking Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-10-18,Crime and Law Enforcement
S. 2959,117th Congress (2021-2022),Supplemental Impact Aid Flexibility Act,"Thune, John [Sen.-R-SD]",Republican,2021-10-07,Education
S. 2938,117th Congress (2021-2022),Bipartisan Safer Communities Act,"Rubio, Marco [Sen.-R-FL]",Republican,2021-10-05,Government Operations and Politics
S. 2899,117th Congress (2021-2022),Prison Camera Reform Act of 2021,"Ossoff, Jon [Sen.-D-GA]",Democratic,2021-09-29,Crime and Law Enforcement
S. 2834,117th Congress (2021-2022),Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022,"Durbin, Richard J. [Sen.-D-IL]",Democratic,2021-09-23,Health
S. 2796,117th Congress (2021-2022),Rural Opioid Abuse Prevention Act,"Ossoff, Jon [Sen.-D-GA]",Democratic,2021-09-22,Crime and Law Enforcement
S. 2794,117th Congress (2021-2022),Supporting Families of the Fallen Act,"Tuberville, Tommy [Sen.-R-AL]",Republican,2021-09-22,Armed Forces and National Security
S. 2771,117th Congress (2021-2022),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".","Cornyn, John [Sen.-R-TX]",Republican,2021-09-21,Armed Forces and National Security
S. 2687,117th Congress (2021-2022),Strengthening Oversight for Veterans Act of 2021,"Tester, Jon [Sen.-D-MT]",Democratic,2021-08-10,Armed Forces and National Security
S. 2629,117th Congress (2021-2022),Better Cybercrime Metrics Act,"Schatz, Brian [Sen.-D-HI]",Democratic,2021-08-05,Crime and Law Enforcement
S. 2607,117th Congress (2021-2022),Iran Hostages Congressional Gold Medal Act,"Padilla, Alex [Sen.-D-CA]",Democratic,2021-08-04,International Affairs
S. 2551,117th Congress (2021-2022),AI Training Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-07-29,Government Operations and Politics
S. 2533,117th Congress (2021-2022),Making Advances in Mammography and Medical Options for Veterans Act,"Tester, Jon [Sen.-D-MT]",Democratic,2021-07-29,Armed Forces and National Security
S. 2520,117th Congress (2021-2022),State and Local Government Cybersecurity Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-07-28,Emergency Management
S. 2514,117th Congress (2021-2022),"A bill to rename the Provo Veterans Center in Orem, Utah, as the ""Col. Gail S. Halvorsen 'Candy Bomber' Veterans Center"".","Lee, Mike [Sen.-R-UT]",Republican,2021-07-28,Armed Forces and National Security
S. 2490,117th Congress (2021-2022),Blackwell School National Historic Site Act,"Cornyn, John [Sen.-R-TX]",Republican,2021-07-27,Public Lands and Natural Resources
S. 2333,117th Congress (2021-2022),Equal Pay for Team USA Act of 2022,"Cantwell, Maria [Sen.-D-WA]",Democratic,2021-07-13,Sports and Recreation
S. 2293,117th Congress (2021-2022),CREW Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-06-24,Emergency Management
S. 2201,117th Congress (2021-2022),Supply Chain Security Training Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-06-23,Government Operations and Politics
S. 2159,117th Congress (2021-2022),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs located at 400 College Drive, Middleburg, Florida, as the ""Andrew K. Baker Department of Veterans Affairs Clinic"", and for other purposes.","Rubio, Marco [Sen.-R-FL]",Republican,2021-06-22,Armed Forces and National Security
S. 2126,117th Congress (2021-2022),"A bill to designate the Federal Office Building located at 308 W. 21st Street in Cheyenne, Wyoming, as the ""Louisa Swain Federal Office Building"", and for other purposes.","Lummis, Cynthia M. [Sen.-R-WY]",Republican,2021-06-17,"Government buildings, facilities, and property"
S. 2102,117th Congress (2021-2022),Dr. Kate Hendricks Thomas SERVICE Act,"Boozman, John [Sen.-R-AR]",Republican,2021-06-17,Armed Forces and National Security
S. 2089,117th Congress (2021-2022),Keep Kids Fed Act of 2022,"Shaheen, Jeanne [Sen.-D-NH]",Democratic,2021-06-16,Armed Forces and National Security
S. 1942,117th Congress (2021-2022),National Heritage Area Act,"Stabenow, Debbie [Sen.-D-MI]",Democratic,2021-05-27,Public Lands and Natural Resources
S. 1941,117th Congress (2021-2022),MAPS Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-05-27,Government Operations and Politics
S. 1917,117th Congress (2021-2022),K-12 Cybersecurity Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-05-27,Education
S. 1910,117th Congress (2021-2022),Major Medical Facility Authorization Act of 2021,"Tester, Jon [Sen.-D-MT]",Democratic,2021-05-27,"Government buildings, facilities, and property"
S. 1872,117th Congress (2021-2022),United States Army Rangers Veterans of World War II Congressional Gold Medal Act,"Ernst, Joni [Sen.-R-IA]",Republican,2021-05-27,Armed Forces and National Security
S. 1828,117th Congress (2021-2022),HAVANA Act of 2021,"Collins, Susan M. [Sen.-R-ME]",Republican,2021-05-25,Central Intelligence Agency (CIA)
S. 1760,117th Congress (2021-2022),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs planned to be built in Oahu, Hawaii, as the ""Daniel Kahikina Akaka Department of Veterans Affairs Community-Based Outpatient Clinic"".","Hirono, Mazie K. [Sen.-D-HI]",Democratic,2021-05-20,Armed Forces and National Security
S. 1687,117th Congress (2021-2022),Small Business Cyber Training Act of 2022,"Rubio, Marco [Sen.-R-FL]",Republican,2021-05-18,Commerce
S. 1662,117th Congress (2021-2022),Supporting the Foundation for the National Institutes of Health and the Reagan-Udall Foundation for the Food and Drug Administration Act,"Lujan, Ben Ray [Sen.-D-NM]",Democratic,2021-05-17,Health
S. 1617,117th Congress (2021-2022),Disaster Assistance for Rural Communities Act,"Risch, James E. [Sen.-R-ID]",Republican,2021-05-13,Commerce
S. 1605,117th Congress (2021-2022),National Defense Authorization Act for Fiscal Year 2022,"Scott, Rick [Sen.-R-FL]",Republican,2021-05-13,"Arts, Culture, Religion"
S. 1543,117th Congress (2021-2022),STANDUP Act of 2021,"Hassan, Margaret Wood [Sen.-D-NH]",Democratic,2021-05-10,Health
S. 1541,117th Congress (2021-2022),Martha Wright-Reed Just and Reasonable Communications Act of 2022,"Duckworth, Tammy [Sen.-D-IL]",Democratic,2021-05-10,"Science, Technology, Communications"
S. 1511,117th Congress (2021-2022),Protecting America's First Responders Act of 2021,"Grassley, Chuck [Sen.-R-IA]",Republican,2021-04-29,Crime and Law Enforcement
S. 1502,117th Congress (2021-2022),COPS Counseling Act,"Cortez Masto, Catherine [Sen.-D-NV]",Democratic,2021-04-29,Crime and Law Enforcement
S. 1466,117th Congress (2021-2022),Saline Lake Ecosystems in the Great Basin States Program Act of 2022,"Merkley, Jeff [Sen.-D-OR]",Democratic,2021-04-29,Environmental Protection
S. 1404,117th Congress (2021-2022),Ghost Army Congressional Gold Medal Act,"Markey, Edward J. [Sen.-D-MA]",Democratic,2021-04-28,Armed Forces and National Security
S. 1402,117th Congress (2021-2022),Durbin Feeling Native American Languages Act of 2022,"Schatz, Brian [Sen.-D-HI]",Democratic,2021-04-28,Native Americans
S. 1340,117th Congress (2021-2022),"A bill to amend title 28, United States Code, to redefine the eastern and middle judicial districts of North Carolina.","Tillis, Thomas [Sen.-R-NC]",Republican,2021-04-22,Law
S. 1301,117th Congress (2021-2022),Promoting Physical Activity for Americans Act,"Brown, Sherrod [Sen.-D-OH]",Democratic,2021-04-22,Government information and archives
S. 1294,117th Congress (2021-2022),Protecting American Intellectual Property Act of 2022,"Van Hollen, Chris [Sen.-D-MD]",Democratic,2021-04-21,International Affairs
S. 1226,117th Congress (2021-2022),"A bill to designate the United States courthouse located at 1501 North 6th Street in Harrisburg, Pennsylvania, as the ""Sylvia H. Rambo United States Courthouse"", and for other purposes.","Casey, Robert P., Jr. [Sen.-D-PA]",Democratic,2021-04-20,Government Operations and Politics
S. 1198,117th Congress (2021-2022),Solid Start Act of 2022,"Hassan, Margaret Wood [Sen.-D-NH]",Democratic,2021-04-15,Armed Forces and National Security
S. 1098,117th Congress (2021-2022),Joint Consolidation Loan Separation Act,"Warner, Mark R. [Sen.-D-VA]",Democratic,2021-04-13,Education
S. 1097,117th Congress (2021-2022),Federal Rotational Cyber Workforce Program Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-04-13,Computers and information technology
S. 1095,117th Congress (2021-2022),Colonel John M. McHugh Tuition Fairness for Survivors Act of 2021,"Moran, Jerry [Sen.-R-KS]",Republican,2021-04-13,Armed Forces and National Security
S. 1064,117th Congress (2021-2022),RENACER Act,"Menendez, Robert [Sen.-D-NJ]",Democratic,2021-03-25,International Affairs
S. 1031,117th Congress (2021-2022),"A bill to require the Comptroller General of the United States to conduct a study on disparities associated with race and ethnicity with respect to certain benefits administered by the Secretary of Veterans Affairs, and for other purposes.","Warnock, Raphael G. [Sen.-D-GA]",Democratic,2021-03-25,Armed Forces and National Security
S. 989,117th Congress (2021-2022),Native American Language Resource Center Act of 2022,"Schatz, Brian [Sen.-D-HI]",Democratic,2021-03-25,Native Americans
S. 958,117th Congress (2021-2022),Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act,"Rosen, Jacky [Sen.-D-NV]",Democratic,2021-03-24,Health
S. 957,117th Congress (2021-2022),DUMP Opioids Act,"Kennedy, John [Sen.-R-LA]",Republican,2021-03-24,Armed Forces and National Security
S. 937,117th Congress (2021-2022),COVID-19 Hate Crimes Act,"Hirono, Mazie K. [Sen.-D-HI]",Democratic,2021-03-23,State and local government operations
S. 921,117th Congress (2021-2022),Jaime Zapata and Victor Avila Federal Officers and Employees Protection Act,"Cornyn, John [Sen.-R-TX]",Republican,2021-03-23,Crime and Law Enforcement
S. 894,117th Congress (2021-2022),Hire Veteran Health Heroes Act of 2021,"Braun, Mike [Sen.-R-IN]",Republican,2021-03-23,Armed Forces and National Security
S. 854,117th Congress (2021-2022),Methamphetamine Response Act of 2021,"Feinstein, Dianne [Sen.-D-CA]",Democratic,2021-03-18,Crime and Law Enforcement
S. 848,117th Congress (2021-2022),Consider Teachers Act of 2021,"Braun, Mike [Sen.-R-IN]",Republican,2021-03-18,Education
